id,loai,nhom_cap_1,nhom_cap_2,nhom_cap_3,nhom_cap_4,ten_sp,hinh_anh,kh_ncc_id,ten_kh_ncc,quy_trinh_san_xuat,quy_cach,sl_sp/me,sl_sp/thung,ti_le_thu_hoi,dvt,gia_von/me,gia_von/sp,gia_cap_1,gia_cap_2,gia_cap_3,kho_id,vi_tri,ton_kho,hsd,gioi_han_duoi,gioi_han_tren,thong_tin,ghi_chu,tinh_trang,ngay_tao,nguoi_tao,update,sp_xe,khay_xe
BTP_001,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Bánh ngọt Sukem,,,,1,Mẻ,1.805,,0.97,Kg,102238.17599999999,56641.6487534626,47252.700000000004,49400.549999999996,51548.4,WH-BTP_01,,-27761.3,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
BTP_002,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Sandwich nguyên bản,,,,1,Mẻ,45.86,,0.97,Kg,879825.1,19185.021805494984,21487.4,22464.1,23440.8,WH-BTP_01,,-251005.96000000002,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-07-02 09:15:48,,
BTP_003,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Bánh mì ngọt Lào,,,,1,Mẻ,42.937,,0.97,Kg,573600.1209999999,13359.11034771875,14951.2,15630.8,16310.4,WH-BTP_01,,-3140410.0,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
BTP_004,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Bánh mì ngọt Việt,,,,,Mẻ,44.19,,0.97,Kg,717247.01,16230.980085992307,7793.500000000001,8147.749999999999,8502.0,WH-BTP_01,,-2415584.9328,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-07-02 09:15:48,,
BTP_005,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Bánh mì Panka CBC,,,,1,Mẻ,46.388,,0.97,Kg,1092602.121,23553.55093989825,10638.1,11121.65,11605.199999999999,WH-BTP_01,,0.0,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-07-02 09:15:48,,
BTP_006,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Bánh mì ngọt mềm,,,,1,Mẻ,45.353,,0.97,Kg,849311.121,18726.680065265806,15842.2,16562.3,17282.399999999998,WH-BTP_01,,-65985.0,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-07-02 09:15:48,,
BTP_007,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Bánh mì Dừa,,,,1,Mẻ,42.372,,0.97,Kg,1030389.58,24317.69989615784,7942.000000000001,8303.0,8664.0,WH-BTP_01,,-3534.6000000000004,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
BTP_008,bán thành phẩm,Nhóm vỏ,,,,BTP 16Food Vỏ Bánh mì xúc xích,,,,1,Mẻ,45.971,,0.97,Kg,840284.9090000001,18278.5866959605,7911.200000000001,8270.8,8630.4,WH-BTP_01,,0.0,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
BTP_009,bán thành phẩm,Nhóm Gato,,,,BTP 16Food Gato Cơ bản,,,,1,Mẻ,63.403,,0.97,Kg,2624535.6149999998,41394.502074034346,22623.7,23652.05,24680.399999999998,WH-BTP_01,,-64000.0,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
BTP_010,bán thành phẩm,Nhóm sốt,,,,BTP 16Food Sốt Dầu trứng,,,,1,Mẻ,7.387,,0.97,Kg,243831.924,33008.24746175714,0.0,0.0,0.0,WH-BTP_01,,0.0,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
BTP_011,bán thành phẩm,Nhóm nhân,,,,BTP 16Food Nhân Khoai Khúc,,,,1,Mẻ,69.86,,0.97,Kg,902689.223,12921.403134841112,3839.0000000000005,4013.4999999999995,4188.0,WH-BTP_01,,-34233.92,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
BTP_012,bán thành phẩm,Nhóm nhân,,,,BTP 16Food Nhân khoai môn lào (có tái chế),,,,1,Mẻ,81.075,,0.97,Kg,1106886.83,13652.62818378045,12247.400000000001,12804.099999999999,13360.8,WH-BTP_01,,-664704.0,,100.0,1000.0,,,Đang sản xuất,2024-05-23,tpcu.16food@gmail.com,2024-06-30 19:33:04,,
